"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"377",14,"Dontrell Hilliard",FA,"RB105","-","-","-"
"378",14,"Jameis Winston",NO,"QB39","11","5 out of 5 stars","-"
"379",14,"Xavier Hutchinson",HOU,"WR123","7","4 out of 5 stars","-52"
"380",15,"Kenny McIntosh",SEA,"RB106","5","2 out of 5 stars","-"
"381",15,"Brevin Jordan",HOU,"TE49","7","3 out of 5 stars","-"
"382",15,"Justin Jackson",FA,"RB107","-","-","-"
"383",15,"Deonte Harty",BUF,"WR124","13","2 out of 5 stars","-"
"384",15,"Darrell Henderson Jr.",FA,"RB108","-","-","-"
"385",15,"Ben Skowronek",LAR,"WR125","10","3 out of 5 stars","-"
"386",15,"Jauan Jennings",SF,"WR126","9","3 out of 5 stars","-"
"387",15,"Donald Parham Jr.",LAC,"TE50","5","4 out of 5 stars","-"
"388",15,"Deon Jackson",IND,"RB109","11","3 out of 5 stars","-"
"389",15,"Ke'Shawn Vaughn",TB,"RB110","5","3 out of 5 stars","-"
"390",15,"Kyle Trask",TB,"QB40","5","3 out of 5 stars","-83"
"391",15,"Chase McLaughlin",TB,"K34","5","2 out of 5 stars","-"
"392",15,"Kenny Golladay",FA,"WR127","-","-","-"
"393",15,"Mo Alie-Cox",IND,"TE51","11","3 out of 5 stars","-"
"394",15,"Kevin Harris",NE,"RB111","11","2 out of 5 stars","-"
"395",15,"A.T. Perry",NO,"WR128","11","4 out of 5 stars","-"
"396",15,"Mark Ingram II",FA,"RB112","-","-","-"
"397",15,"Noah Brown",HOU,"WR129","7","4 out of 5 stars","-"
"398",15,"Tyler Scott",CHI,"WR130","13","3 out of 5 stars","-"
"399",15,"Joey Slye",WAS,"K35","14","4 out of 5 stars","-"
"400",15,"Ameer Abdullah",LV,"RB113","13","3 out of 5 stars","-"
"401",15,"Rex Burkhead",FA,"RB114","-","-","-"
"402",15,"Chris Moore",TEN,"WR131","7","3 out of 5 stars","-"
"403",15,"Las Vegas Raiders",LV,"DST32","13","3 out of 5 stars","-83"
"404",15,"Anders Carlson",GB,"K36","6","5 out of 5 stars","-"
"405",15,"Tyler Davis",FA,"K37","-","-","-"
"406",15,"Durham Smythe",MIA,"TE52","10","2 out of 5 stars","-"
"407",15,"Randy Bullock",FA,"K38","-","-","-"
"408",15,"C.J. Uzomah",NYJ,"TE53","7","3 out of 5 stars","-"
"409",15,"Marlon Mack",FA,"RB115","-","-","-"
"410",15,"Harrison Bryant",CLE,"TE54","5","3 out of 5 stars","-"
"411",15,"Ty Montgomery",NE,"RB116","11","2 out of 5 stars","-"
"412",15,"Raheem Blackshear",CAR,"RB117","7","4 out of 5 stars","-"
"413",15,"Marquez Callaway",DEN,"WR132","9","2 out of 5 stars","-"
"414",15,"Ty Johnson",FA,"RB118","-","-","-"
"415",15,"Chad Ryland",NE,"K39","11","2 out of 5 stars","-"
"416",15,"Taylor Heinicke",ATL,"QB41","11","4 out of 5 stars","-"
"417",15,"Olamide Zaccheaus",PHI,"WR133","10","3 out of 5 stars","-"
"418",15,"Jalen Tolbert",DAL,"WR134","7","2 out of 5 stars","-"
"419",15,"Trent Sherfield",BUF,"WR135","13","2 out of 5 stars","-"
"420",15,"Kene Nwangwu",MIN,"RB119","13","5 out of 5 stars","-"
"421",15,"Kalif Raymond",DET,"WR136","9","3 out of 5 stars","-"
"422",15,"Peyton Hendershot",DAL,"TE55","7","3 out of 5 stars","-"
"423",15,"Craig Reynolds",DET,"RB120","9","5 out of 5 stars","-"
"424",15,"Bailey Zappe",NE,"QB42","11","2 out of 5 stars","-118"
"425",15,"Deneric Prince",KC,"RB121","10","4 out of 5 stars","-141"
"426",15,"Cedrick Wilson Jr.",MIA,"WR137","10","3 out of 5 stars","-"
"427",15,"Kylen Granson",IND,"TE56","11","3 out of 5 stars","-"
"428",15,"Carson Wentz",FA,"QB43","-","-","-"
"429",15,"Jordan Akins",CLE,"TE57","5","3 out of 5 stars","-"
"430",15,"Cole Turner",WAS,"TE58","14","3 out of 5 stars","-"
"431",15,"Corey Clement",ARI,"RB122","14","3 out of 5 stars","-"
"432",15,"Randall Cobb",NYJ,"WR138","7","3 out of 5 stars","-117"
"433",15,"Parker Washington",JAX,"WR139","9","4 out of 5 stars","-"
"434",15,"O.J. Howard",LV,"TE59","13","5 out of 5 stars","-"
"435",15,"Brock Wright",DET,"TE60","9","3 out of 5 stars","-"
"436",15,"Sony Michel",LAR,"RB123","10","3 out of 5 stars","-155"
"437",15,"Trey Sermon",PHI,"RB124","10","1 out of 5 stars","-112"
"438",15,"Dyami Brown",WAS,"WR140","14","3 out of 5 stars","-"
"439",15,"Brandon Bolden",LV,"RB125","13","3 out of 5 stars","-"
"440",15,"Trey Palmer",TB,"WR141","5","4 out of 5 stars","-"
"441",15,"Elliott Fry",DEN,"K40","9","2 out of 5 stars","-"
"442",15,"Zane Gonzalez",SF,"K41","9","2 out of 5 stars","-"
"443",15,"Mike White",MIA,"QB44","10","2 out of 5 stars","-165"
"444",15,"Keaton Mitchell",BAL,"RB126","13","3 out of 5 stars","-"
"445",15,"Jalen Guyton",LAC,"WR142","5","3 out of 5 stars","-"
"446",15,"Tanner Brown",LAR,"K42","10","0 out of 5 stars","-"
"447",15,"Elijah Higgins",MIA,"TE61","10","2 out of 5 stars","-"
"448",15,"Justin Watson",KC,"WR143","10","2 out of 5 stars","-"
"449",15,"Tony Jones Jr.",DEN,"RB127","9","4 out of 5 stars","-"
"450",15,"Samori Toure",GB,"WR144","6","3 out of 5 stars","-"
"451",16,"Quintez Cephus",FA,"WR145","9","3 out of 5 stars","-"
"452",16,"Justice Hill",BAL,"RB128","13","3 out of 5 stars","-"
"453",16,"Tre'Quan Smith",NO,"WR146","11","4 out of 5 stars","-"
"454",16,"Hendon Hooker",DET,"QB45","9","4 out of 5 stars","-"
"455",16,"Charlie Jones",CIN,"WR147","7","4 out of 5 stars","-133"
"456",16,"Caleb Shudak",TEN,"K43","7","4 out of 5 stars","-"
"457",16,"Caleb Huntley",ATL,"RB129","11","4 out of 5 stars","-"
"458",16,"Josh Oliver",MIN,"TE62","13","3 out of 5 stars","-125"
"459",16,"Mike Boone",HOU,"RB130","7","3 out of 5 stars","-"
"460",16,"Jalen Reagor",MIN,"WR148","13","3 out of 5 stars","-"
"461",16,"Rico Dowdle",DAL,"RB131","7","3 out of 5 stars","-"
"462",16,"Demetric Felton Jr.",CLE,"RB132","5","3 out of 5 stars","-"
"463",16,"Matt Ryan",FA,"QB46","-","-","-"
"464",16,"Demarcus Robinson",LAR,"WR149","10","3 out of 5 stars","-"
"465",16,"Tiyon Evans",CAR,"RB133","7","4 out of 5 stars","-"
"466",16,"Jamal Agnew",JAX,"WR150","9","4 out of 5 stars","-"
"467",16,"Scott Miller",ATL,"WR151","11","4 out of 5 stars","-"
"468",16,"DeAndre Carter",LV,"WR152","13","2 out of 5 stars","-"
"469",16,"Dan Arnold",PHI,"TE63","10","2 out of 5 stars","-"
"470",16,"Kyle Rudolph",FA,"TE64","-","-","-"
"471",16,"Clayton Tune",ARI,"QB47","14","2 out of 5 stars","-"
"472",16,"Andy Dalton",CAR,"QB48","7","4 out of 5 stars","-146"
"473",16,"Kyle Juszczyk",SF,"RB134","9","4 out of 5 stars","-"
"474",16,"Calvin Austin III",PIT,"WR153","6","3 out of 5 stars","-175"
"475",16,"Gary Brightwell",NYG,"RB135","13","2 out of 5 stars","-"
"476",16,"Travis Homer",CHI,"RB136","13","5 out of 5 stars","-142"
"477",16,"Jeremy Ruckert",NYJ,"TE65","7","3 out of 5 stars","-"
"478",16,"Brian Hoyer",LV,"QB49","13","4 out of 5 stars","-"
"479",16,"Velus Jones Jr.",CHI,"WR154","13","3 out of 5 stars","-"
"480",16,"Brenton Strange",JAX,"TE66","9","2 out of 5 stars","-"
"481",16,"Tyler Huntley",BAL,"QB50","13","3 out of 5 stars","-160"
"482",16,"Zack Kuntz",NYJ,"TE67","7","3 out of 5 stars","-"
"483",16,"Tre Tucker",LV,"WR155","13","2 out of 5 stars","-"
"484",16,"Jarrett Stidham",DEN,"QB51","9","4 out of 5 stars","-"
"485",16,"Ashton Dulin",IND,"WR156","11","4 out of 5 stars","-"
"486",16,"Tommy Tremble",CAR,"TE68","7","3 out of 5 stars","-"
"487",16,"Trestan Ebner",CHI,"RB137","13","5 out of 5 stars","-"
"488",16,"Mohamed Ibrahim",DET,"RB138","9","5 out of 5 stars","-"
"489",16,"Andrei Iosivas",CIN,"WR157","7","4 out of 5 stars","-"
"490",16,"Anthony McFarland Jr.",PIT,"RB139","6","3 out of 5 stars","-"
"491",16,"Marquise Goodwin",CLE,"WR158","5","3 out of 5 stars","-"
"492",16,"Zach Wilson",NYJ,"QB52","7","2 out of 5 stars","-160"
"493",16,"Teagan Quitoriano",HOU,"TE69","7","3 out of 5 stars","-"
"494",16,"Shi Smith",CAR,"WR159","7","4 out of 5 stars","-"
"495",16,"Mike Davis",FA,"RB140","-","-","-"
"496",16,"Josiah Deguara",GB,"TE70","6","4 out of 5 stars","-"
"497",16,"James Mitchell",DET,"TE71","9","3 out of 5 stars","-"
"498",16,"Colby Parkinson",SEA,"TE72","5","2 out of 5 stars","-179"
"499",16,"John Bates",WAS,"TE73","14","3 out of 5 stars","-"
"500",16,"Dontayvion Wicks",GB,"WR160","6","3 out of 5 stars","-"
"501",16,"Trenton Irwin",CIN,"WR161","7","4 out of 5 stars","-"
"502",16,"Equanimeous St. Brown",CHI,"WR162","13","3 out of 5 stars","-"
"503",16,"Jalen Nailor",MIN,"WR163","13","3 out of 5 stars","-"
"504",16,"Cameron Latu",SF,"TE74","9","3 out of 5 stars","-"
"505",16,"Malik Willis",TEN,"QB53","7","4 out of 5 stars","-"
"506",16,"Zach Pascal",ARI,"WR164","14","3 out of 5 stars","-"
"507",16,"Dee Eskridge",SEA,"WR165","5","3 out of 5 stars","-"
"508",16,"Nick Mullens",MIN,"QB54","13","4 out of 5 stars","-"
