"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"124",9,"Jeff Wilson Jr.",MIA,"RB43","10","1 out of 5 stars","+43"
"125",9,"Zay Flowers",BAL,"WR51","13","3 out of 5 stars","+5"
"126",9,"Anthony Richardson",IND,"QB18","11","4 out of 5 stars","-12"
"127",9,"Allen Lazard",NYJ,"WR52","7","3 out of 5 stars","0"
"128",9,"D'Onta Foreman",CHI,"RB44","13","5 out of 5 stars","+1"
"129",9,"Nico Collins",HOU,"WR53","7","4 out of 5 stars","+22"
"130",9,"Jerick McKinnon",KC,"RB45","10","4 out of 5 stars","-4"
"131",9,"Darnell Mooney",CHI,"WR54","13","3 out of 5 stars","+6"
"132",9,"Raheem Mostert",MIA,"RB46","10","1 out of 5 stars","+18"
"133",9,"Devin Singletary",HOU,"RB47","7","3 out of 5 stars","+13"
"134",9,"Matthew Stafford",LAR,"QB19","10","2 out of 5 stars","-6"
"135",9,"Gerald Everett",LAC,"TE15","5","4 out of 5 stars","+26"
"136",9,"Tyler Higbee",LAR,"TE16","10","2 out of 5 stars","-3"
"137",9,"Derek Carr",NO,"QB20","11","5 out of 5 stars","-15"
"138",9,"De'Von Achane",MIA,"RB48","10","1 out of 5 stars","-27"
"139",9,"Juwan Johnson",NO,"TE17","11","5 out of 5 stars","+2"
"140",9,"Tyler Boyd",CIN,"WR55","7","4 out of 5 stars","0"
"141",9,"DJ Chark Jr.",CAR,"WR56","7","4 out of 5 stars","+51"
"142",9,"Taysom Hill",NO,"TE18","11","5 out of 5 stars","+92"
"143",9,"Dawson Knox",BUF,"TE19","13","3 out of 5 stars","+23"
"144",9,"Jaylen Warren",PIT,"RB49","6","3 out of 5 stars","+21"
"145",10,"Jordan Love",GB,"QB21","6","5 out of 5 stars","-9"
"146",10,"San Francisco 49ers",SF,"DST1","9","1 out of 5 stars","+3"
"147",10,"Odell Beckham Jr.",BAL,"WR57","13","3 out of 5 stars","-26"
"148",10,"Kenny Pickett",PIT,"QB22","6","2 out of 5 stars","-1"
"149",10,"Rondale Moore",ARI,"WR58","14","3 out of 5 stars","-1"
"150",10,"Mike Gesicki",NE,"TE20","11","2 out of 5 stars","+20"
"151",10,"Donovan Peoples-Jones",CLE,"WR59","5","3 out of 5 stars","-6"
"152",10,"Adam Thielen",CAR,"WR60","7","4 out of 5 stars","-20"
